order,event,state,phase
1,cnt_phi_update,"(2, 1)",update
2,cnt_phi_update,"(1, 1)",update
3,cnt_phi_update,"(3, 2)",update
4,cnt_phi_update,"(3, 1)",update
5,cnt_phi_update,"(3, 0)",update
6,cnt_phi_update,"(1, 3)",update
