discovered_inc,discovered_agg
2029,1637
8984,8729
930,894
750,596
15060,14979
9744,9691
783,850
19280,19030
6268,5846
2445,2420
7339,6750
8852,8663
46072,46028
1242,997
589,564
4731,4681
21683,21494
25557,25548
1187,1161
3970,3323
7655,7602
20815,20673
17632,17648
1996,1949
2876,2991
48690,48713
11391,11379
432,428
33727,33205
7223,7401
17674,17821
9486,9476
14033,13366
31974,32001
959,1066
9294,9208
22321,22339
5407,3256
19105,19106
37548,37534
1751,1701
12306,12288
3715,3762
6107,6046
2575,2773
6555,6568
21908,21908
6472,6250
2308,1883
19158,18994
27497,28264
889,899
18165,17585
33182,33162
8295,8441
33127,33129
28623,28592
2298,2322
3974,3330
7003,6785
37069,37041
4540,4492
36040,36035
30928,30865
4756,4750
34290,33378
1246,922
3396,3166
17853,17690
22369,22370
28108,28081
10028,9997
3523,3505
17495,17455
2582,2547
2707,2521
7970,7984
26865,26857
42857,42510
1705,1546
2020,1813
7898,7678
2478,2459
18105,17899
4339,4416
9064,8919
2981,2616
1171,1034
1159,1101
5679,5660
26727,26611
6077,6242
17943,17916
9845,9851
13470,13362
19844,19749
5918,5743
4247,4092
35821,35824
26348,26336
7151,6766
28455,28399
2738,2761
18688,18656
29615,29670
6712,6723
13322,13324
24590,24407
3914,3901
7969,7766
24408,24315
4686,4535
43148,42946
14487,14276
3453,3388
2124,2349
3739,3624
9284,9243
6745,6739
29560,29443
15714,15791
1966,1896
3310,3217
13243,13210
4725,4783
3082,2834
10743,10710
4822,4816
3570,3563
18204,18188
1425,1749
24086,24070
16629,16143
27674,27592
765,711
10571,10497
2492,2462
5856,5819
11423,11201
801,779
8550,8538
5386,5377
2369,2638
25582,25320
15398,15262
18326,18093
9869,9885
15184,15193
2241,2218
34232,34560
9095,9077
16678,16462
1620,1465
6871,6857
11100,11103
24979,24778
7193,7095
1468,1788
16365,16348
6169,6183
2074,2058
9099,9158
11301,11300
5771,5312
959,898
17767,17764
25161,24909
19013,18986
2828,2790
53029,53006
8013,7959
1784,1781
21311,20586
1565,1464
1526,1007
3182,3311
4638,4629
20554,20281
1044,1174
12112,11511
3497,3333
1970,1171
8018,7938
4545,4450
11382,11165
48685,48351
12995,12992
1339,1118
54619,54596
6148,6140
19356,19348
1390,999
13073,13057
21005,20923
30520,30516
45381,45376
1308,1052
15254,15236
12303,12311
56980,56900
62423,62359
22702,22290
1899,1192
30435,30178
26035,25971
2394,2426
2969,2968
2260,2173
14386,14021
4628,4631
5865,5883
1124,1071
11558,11947
27703,27483
14067,14035
4284,4217
1412,1284
2897,1722
2694,1839
1480,1611
17521,17779
22362,22323
7925,7931
1133,922
29293,29294
2044,1559
8899,6094
3412,3388
32241,32221
24867,24814
1788,1507
2857,3065
6267,5798
7094,5358
12884,12895
27340,27336
51549,51517
26933,26929
37510,37422
6784,7007
8926,9033
1205,1212
29371,29247
27118,27108
23993,23978
15221,15246
2208,2185
20305,19256
45630,45633
1079,1168
1272,1499
5463,4779
42549,42490
4528,4094
10933,10144
29876,30035
1572,1468
7447,6967
24582,24586
2672,2113
3303,2290
2862,2989
8504,8651
8206,8222
10812,10819
21185,21120
20461,20458
24826,24619
19963,19830
14977,14860
27045,27065
6990,6311
6500,6504
4431,4156
15337,15341
666,608
4502,4433
4550,4552
3530,3512
2803,2804
10017,9967
11820,11740
32002,31996
14141,13834
15412,15386
15931,15906
2060,2058
15223,15230
6963,6953
12716,12665
8957,8937
7310,7295
19925,19923
29719,29735
3747,3749
25403,25398
5571,5553
4507,4470
11959,11970
5128,5043
8310,8299
28850,28440
21021,20561
6618,6562
6129,6131
11081,11078
12784,12783
4487,4495
4866,4860
14599,14469
6312,6330
6768,6601
8288,8236
8773,8769
12027,11865
13431,13369
24566,24551
2687,2685
7472,7473
6343,6106
9813,9815
12642,12637
20315,20307
27777,27773
32373,32303
29264,29224
14827,14836
23838,23836
10933,10918
6206,6200
2019,1958
6417,6418
13265,13223
2135,2043
13834,13827
8607,8567
19173,19182
5291,5273
6724,6728
31289,31267
10341,10324
14995,14977
3786,3789
20652,20623
5384,5374
4984,4960
29693,29693
14994,14827
5561,5550
5905,5872
9156,9361
11134,11132
30370,30358
1152,1144
25384,25381
5606,5684
26255,26258
17808,17792
2498,2501
9581,9554
20474,20474
17907,17888
15088,14978
11140,11140
1546,1559
4731,4712
3359,3159
4818,4800
17700,17037
8609,8424
45640,45630
89597,89567
40161,39580
1803,1794
36125,36149
4716,4713
39547,39228
17884,17882
9308,9287
18411,18254
38386,38413
2798,2800
24464,24394
4886,4725
19061,18961
4405,4202
5175,5150
69208,69214
108285,108291
8677,8141
6964,6605
34413,34361
82322,82220
7176,7127
14088,14399
28894,28845
22624,22547
26116,25981
11712,11502
43880,43872
37737,37704
18940,18392
1137,833
3105,3164
13572,13471
18702,18722
63593,63362
79434,79615
7739,7737
72908,71893
13003,12997
26459,26411
5960,5924
81513,81186
36884,36830
8078,7841
31024,30689
69111,68937
1860,1727
41778,41749
4429,4489
885,787
9825,9497
1343,1189
26723,26685
50141,50146
20548,20537
10266,11733
85260,85210
48165,48152
31727,31727
14534,14504
26593,26594
28436,28429
4103,3538
21105,20684
2961,2893
80677,79985
48257,47679
1632,1441
1244,1045
10236,9882
10578,10512
6314,6185
41777,39634
7898,7259
7101,7065
3263,2717
125653,125656
4064,4045
59847,59418
15213,15215
49109,49067
1062,1072
10308,10572
24467,24523
39129,38779
46322,46309
7998,7974
42732,42692
909,1000
4434,4432
46713,46704
26630,26623
19838,19847
2782,2722
67649,67630
219920,219840
36553,36548
47802,47746
225742,225737
14113,14059
30084,30066
183098,183036
60526,60504
70062,69916
157798,157787
93741,93743
55091,55072
145487,145436
55406,55398
204701,204682
77587,77369
38137,38114
83750,83627
17991,17986
48941,48965
55055,55058
25457,25401
19656,19623
30036,30014
73479,73339
120293,120303
78081,78093
46801,46786
78579,78248
51529,51514
102496,102484
78322,78303
80783,80851
177918,177944
119460,119446
201490,201473
59716,59696
8284,8262
134760,134766
53419,53438
89595,89593
30669,30442
131368,131336
46105,45982
68916,68902
46643,46625
128210,128183
9340,9329
35824,35797
24331,24189
221936,221854
73902,73889
52826,52899
34280,34014
163012,162998
61263,61254
213609,213558
127899,127901
230022,230016
119578,119567
202419,202423
8639,8647
129073,129110
41333,41302
75372,75339
113215,113190
26716,26700
123287,123251
80087,80101
11436,11427
134501,134503
226809,226800
49975,49975
23443,23420
111721,111713
73908,73877
63967,63987
230858,230845
130310,130254
181697,181764
34462,34463
186088,185965
125493,125333
120619,120542
37455,37443
71986,71995
107060,107062
75985,75978
6695,6671
113721,113691
111830,111739
68414,68381
139883,139885
109089,109077
38673,38666
39820,39820
103008,102994
93489,93717
225108,225083
52600,52600
24534,24534
97587,97588
148074,148075
148989,148989
114179,114182
91823,91824
96852,96852
51920,51915
77344,77344
104753,104753
14062,14062
28721,28721
168585,168585
134850,134848
77698,77699
13857,13857
60670,60670
13012,13012
11585,11585
112263,112257
63919,63919
112254,112251
33895,33895
31822,31822
122675,122675
36131,36131
128263,128263
82211,82211
47780,47781
45360,45361
113018,113019
115303,115304
82505,82505
54927,54927
135965,135966
18061,18061
24505,24505
162738,162738
21514,21514
95080,95082
27876,27878
51549,51549
35497,35494
19830,19829
27607,27608
61323,61324
94968,94969
97963,97963
102752,102751
31933,31933
39892,39892
145529,145529
42553,42553
35772,35772
129785,129785
2592,2592
112167,112168
112227,112227
34831,34831
15143,15143
150232,150233
99802,99802
10787,10787
9924,9924
100434,100434
54893,54892
3935,3935
163238,163238
3302,3303
145362,145362
169958,169960
69250,69250
56768,56769
141763,141763
31397,31397
160333,160334
57950,57950
41991,41991
155578,155579
89187,89187
69553,69553
8231,8229
75538,75538
81953,81951
153847,153848
79770,79770
43765,43765
29599,29599
86488,86488
165095,165095
149190,149190
47817,47817
94256,94256
133101,133098
168561,168561
136234,136234
62265,62265
63139,63139
62373,62373
35847,35635
147876,147415
101193,101201
236201,235777
31217,31212
236246,235765
131335,131276
34349,34187
177530,177382
233363,233366
45942,45561
89688,89514
124880,124724
156223,156195
42279,42127
3141,3113
68776,68829
39086,39038
98878,98797
8826,8547
39410,39400
131106,131057
100791,100808
16851,16725
106726,106777
174124,174088
199334,199260
124906,124853
27735,27497
187903,187886
9935,9890
5200,5320
76980,76837
236356,236332
46285,46270
141009,140967
43576,43544
72013,71997
193042,193035
220968,220950
164629,164459
29256,29259
198092,198076
83081,82850
199461,199442
98076,97574
237217,237000
60063,60023
191336,191333
202531,202504
183908,183881
191241,191258
142884,142832
75532,75570
138143,138095
66437,66382
17746,16419
220107,220071
106857,107179
67142,67121
17710,17612
203029,202947
169063,168972
145256,145238
230881,230885
99145,99028
8071,7969
13707,13655
236692,236788
4740,4679
16561,16510
22367,22351
22073,21961
141910,141917
57415,57392
214112,214126
199427,199412
177239,176817
14215,14167
30348,30372
175980,175904
236694,236730
21386,21635
3209,3007
101470,101428
52126,51954
234644,234658
237253,237174
106972,106921
187855,187828
236551,236197
159099,159062
33808,33803
71082,71061
207637,207501
105532,105530
184784,184707
84379,84082
12967,13063
176699,176701
189625,189636
68403,68403
200088,200090
26801,26784
146590,146592
17287,17290
27349,27349
137261,137269
159452,159450
104800,104793
72516,72517
159545,159546
45347,45347
137450,137452
169639,169640
197750,197762
113766,113771
66998,66987
139891,139894
184277,184280
144525,144524
29216,29163
186667,186657
41565,41571
94211,94221
65939,65944
34360,34350
50300,50309
53595,53599
142775,142734
204322,204323
80312,80311
51635,51632
41315,41315
100308,100312
92324,92321
85874,85874
204220,204230
155975,155977
201546,201549
202339,202341
25543,25544
71359,71357
112222,112224
194285,194285
143789,143787
114158,114152
191332,191329
96785,96785
162095,162102
10491,10488
93175,93175
138706,138708
51767,51770
37769,37772
43138,43138
168901,168901
17432,17435
168115,168113
33939,33943
98260,98264
117486,117487
82801,82801
201391,201391
81421,81424
102966,102962
128889,128892
75011,74985
22560,22561
146686,146687
133285,133285
28959,28959
12018,12022
44928,44927
178663,178663
57753,57755
162980,162980
145445,145441
31417,31418
189324,189322
58577,58577
146412,146412
202001,202001
146818,146823
21135,21136
166462,166465
50854,50855
157521,157522
52315,52305
23335,23337
104692,104692
8200,8200
89667,89671
175712,175712
51215,51216
39505,39505
8275,8275
134117,134115
3514,3518
64367,64369
154853,154860
64855,64856
229812,229701
228570,228588
165392,165390
18202,18207
52669,52671
154157,154167
106138,106129
83943,83947
23054,23068
119944,119932
118954,118898
36003,35967
167555,167558
142638,142637
35175,35163
57427,57425
111346,111323
225080,225086
217735,217699
94528,94529
11888,11884
110541,110556
52370,52359
219407,219369
121430,121436
164687,164684
155476,155463
156026,156017
76184,76173
14017,13989
125597,125600
22091,22039
56120,56130
57779,57764
64573,64570
62450,62456
34963,34952
7103,7087
71491,71469
116115,116117
100944,100943
123201,123201
131870,131863
202172,202172
81804,81802
204015,204013
203650,203650
95779,95768
198539,198522
31529,31535
194309,194306
113120,113104
58615,58614
23420,23420
95125,95123
162855,162858
158524,158503
119167,119153
23566,23554
76068,76064
116216,116213
213731,213785
133857,133852
40033,40036
46578,46582
30465,30470
196490,196378
75035,75028
198368,198378
109523,109521
11059,11068
222511,222512
154662,154655
191224,191227
130670,130649
127828,127821
125122,125124
38090,38099
75051,75046
194186,194187
4535,4532
57952,57945
28464,28460
41810,41793
54075,54065
180894,180893
185490,185484
92353,92356
82047,81912
122617,122613
20714,20709
204363,204352
128513,128508
223658,223667
115436,115439
93937,93951
99221,99190
184926,184909
9121,7092
7303,6954
6167,4848
9229,7150
632,689
3697,2373
784,732
1555,1492
6875,5365
10542,12816
5027,4047
8005,7975
1800,1624
4142,4120
5819,3286
814,801
36183,36177
847,847
909,1035
3434,2984
3051,3060
8423,8528
13351,13333
6593,6569
9628,7335
8760,5650
6996,6603
76730,74257
5328,4899
6506,6791
11704,11671
9586,11046
5276,5308
5906,5826
8785,8765
5838,5934
7034,6992
4676,4575
12939,12953
5485,4910
15307,15296
13366,9984
23320,23325
1557,1464
4084,4085
26128,25918
1085,1031
18407,18392
4223,3993
