surely_inc,surely_agg,border_inc,border_agg,surplus_inc,surplus_agg
15927,15927,113,75,0,0
0,0,7250,6524,0,0
30439,30439,643,255,0,0
0,0,2079,2057,0,0
16400,16400,381,313,0,0
10370,10370,3530,2716,0,0
24672,24672,244,221,0,0
76979,76979,8589,4175,0,0
76986,76986,358,266,0,0
128380,128380,1800,1983,0,0
14260,14260,188,160,0,0
0,0,16084,16911,0,0
86660,86660,288,297,0,0
40754,40754,425,317,0,0
202398,202398,647,845,0,0
206022,206022,629,659,0,0
26022,26022,320,427,0,0
0,0,8378,7633,0,0
194897,194897,566,506,0,0
33596,33596,1754,1470,0,0
6570,6570,207,170,0,0
70944,70944,178,184,0,0
28645,28645,142,152,0,0
54284,54284,288,195,0,0
0,0,9593,9429,0,0
19687,19687,361,333,0,0
0,0,733,703,0,0
3433,3433,2155,2151,0,0
0,0,6412,5338,0,0
30677,30677,353,277,0,0
43671,43671,245,127,0,0
37469,37469,493,445,0,0
0,0,2447,2342,0,0
68958,68958,138,129,0,0
0,0,578,491,0,0
0,0,3434,2387,0,0
5052,5052,165,146,0,0
59678,59678,866,1062,0,0
0,0,8858,8313,0,0
12052,12052,620,304,0,0
28721,28721,58,56,0,0
71279,71279,3543,3130,0,0
2281,2281,273,416,0,0
0,0,44900,45616,0,0
0,0,23996,23861,0,0
1552,1552,3248,2360,0,0
0,0,1359,1408,0,0
22408,22408,391,358,0,0
81358,81358,243,231,0,0
0,0,584,349,0,0
0,0,28704,27135,0,0
0,0,2692,2660,0,0
0,0,4171,4035,0,0
0,0,630,637,0,0
2987,2987,502,458,0,0
0,0,3281,4560,0,0
76378,76378,555,584,0,0
18786,18786,13548,14140,0,0
0,0,4039,3152,0,0
79928,79928,1735,1489,0,0
2329,2329,712,623,0,0
0,0,4843,4114,0,0
0,0,2387,2212,0,0
34647,34647,2171,2101,0,0
21091,21091,505,414,0,0
488585,488585,291,249,0,0
207,207,2253,2224,0,0
0,0,2078,1677,0,0
0,0,3926,3599,0,0
6602,6602,698,720,0,0
35636,35636,1983,2691,0,0
0,0,3620,3692,0,0
73899,73899,441,109,0,0
0,0,18796,16430,0,0
0,0,25690,28799,0,0
35760,35760,635,423,0,0
24107,24107,635,646,0,0
0,0,4200,4173,0,0
195112,195112,1418,74,0,0
0,0,1246,486,0,0
46681,46681,388,316,0,0
0,0,567,775,0,0
25956,25956,929,609,0,0
34527,34527,250,220,0,0
50348,50348,362,258,0,0
76746,76746,319,303,0,0
0,0,6661,6651,0,0
0,0,5349,4654,0,0
127281,127281,729,537,0,0
31708,31708,1038,711,0,0
14192,14192,869,626,0,0
1604,1604,286,257,0,0
0,0,2570,2548,0,0
21367,21367,578,497,0,0
32893,32893,598,454,0,0
