map,rows,cols,nodes,pct_nodes,goals,d_start_goal,h_start_goal,pct_start_goal,explored_0,explored_1,explored_2,explored_3,explored_4,explored_5,pct_explored_1,pct_explored_2,pct_explored_3,pct_explored_4,pct_explored_5,elapsed_0,elapsed_1,elapsed_2,elapsed_3,elapsed_4,elapsed_5,pct_elapsed_1,pct_elapsed_2,pct_elapsed_3,pct_elapsed_4,pct_elapsed_5,changed_0,changed_1,changed_2,changed_3,changed_4,changed_5
64room_009,512,512,254117,0.97,6,39,38,0.97,281,322,281,291,291,291,1.15,1.0,1.04,1.04,1.04,0.022986650466918945,0.0319671630859375,0.02398371696472168,0.03097987174987793,0.03098320960998535,0.02898263931274414,1.39,1.04,1.35,1.35,1.26,,75,395,334,241,187
64room_009,512,512,254117,0.97,8,302,165,0.55,31513,30823,17222,24783,26306,26366,0.98,0.55,0.79,0.83,0.84,11.32550859451294,10.464001893997192,5.9456071853637695,10.571977853775024,11.347531795501709,11.154696464538574,0.92,0.52,0.93,1.0,0.98,,618,15667,13723,10084,7657
64room_009,512,512,254117,0.97,10,620,413,0.67,266206,264624,138003,138595,139467,139964,0.99,0.52,0.52,0.52,0.53,340.04129362106323,340.99079298973083,230.60266041755676,231.0404393672943,232.20573377609253,233.24315357208252,1.0,0.68,0.68,0.68,0.69,,962,93787,52940,36239,28943
8room_000,512,512,206642,0.79,2,161,130,0.81,2935,2890,2628,2628,2628,2628,0.98,0.9,0.9,0.9,0.9,0.6546289920806885,0.6326370239257812,0.5676765441894531,0.557680606842041,0.6166248321533203,0.566697359085083,0.97,0.87,0.85,0.94,0.87,,152,1556,862,679,503
8room_000,512,512,206642,0.79,4,76,59,0.78,1494,1479,1304,1304,1304,1304,0.99,0.87,0.87,0.87,0.87,0.26583313941955566,0.25884580612182617,0.2628483772277832,0.23088431358337402,0.2368626594543457,0.23986172676086426,0.97,0.99,0.87,0.89,0.9,,107,1051,610,432,343
8room_000,512,512,206642,0.79,6,280,263,0.94,10850,8481,8368,8368,8368,8368,0.78,0.77,0.77,0.77,0.77,9.77443528175354,8.488145589828491,8.766005992889404,8.603102207183838,8.610095262527466,8.531141996383667,0.87,0.9,0.88,0.88,0.87,,351,8134,5007,3376,2500
8room_000,512,512,206642,0.79,8,352,285,0.81,24537,24422,22886,22886,22886,22886,1.0,0.93,0.93,0.93,0.93,12.766667604446411,12.903626441955566,10.849869012832642,10.84184455871582,10.892810821533203,10.966753721237183,1.01,0.85,0.85,0.85,0.86,,880,19107,15219,10780,8139
8room_000,512,512,206642,0.79,10,397,354,0.89,55791,45452,28148,28161,28169,28180,0.81,0.5,0.5,0.5,0.51,50.14241409301758,39.62540888786316,27.2424635887146,26.301013231277466,26.561869859695435,26.81070637702942,0.79,0.54,0.52,0.53,0.53,,728,24226,28306,20829,16034
Berlin_2_1024,1024,1024,795261,0.76,2,941,542,0.58,367835,366454,281873,281873,281873,281873,1.0,0.77,0.77,0.77,0.77,979.9038062095642,1147.025766134262,652.9240908622742,654.7360198497772,647.0644125938416,656.6389541625977,1.17,0.67,0.67,0.66,0.67,,1446,184474,101204,67478,50561
Berlin_2_1024,1024,1024,795261,0.76,4,926,811,0.88,312029,221338,127472,127472,127472,127472,0.71,0.41,0.41,0.41,0.41,893.7129075527191,614.4939427375793,352.9209666252136,347.02134466171265,347.1952066421509,345.98393535614014,0.69,0.39,0.39,0.39,0.39,,2486,160005,99635,72757,56410
Berlin_2_1024,1024,1024,795261,0.76,6,371,260,0.7,15055,14510,9312,10062,11381,12890,0.96,0.62,0.67,0.76,0.86,4.12166953086853,4.398489952087402,3.0052661895751953,3.6599295139312744,4.441462755203247,4.372487783432007,1.07,0.73,0.89,1.08,1.06,,230,2854,1672,1322,1175
Berlin_2_1024,1024,1024,795261,0.76,8,848,643,0.76,158600,155261,93977,94401,95638,98029,0.98,0.59,0.6,0.6,0.62,199.6503026485443,195.12492108345032,140.6258738040924,141.7162368297577,142.80863046646118,143.59018540382385,0.98,0.7,0.71,0.72,0.72,,957,66590,34797,24593,19468
Berlin_2_1024,1024,1024,795261,0.76,10,70,69,0.99,252,200,195,195,195,195,0.79,0.77,0.77,0.77,0.77,0.07196784019470215,0.04497218132019043,0.0629415512084961,0.044971466064453125,0.04797220230102539,0.04797029495239258,0.62,0.87,0.62,0.67,0.67,,22,31,29,26,26
lak400d,418,362,40385,0.27,2,307,128,0.42,9309,9235,5966,5966,5966,5966,0.99,0.64,0.64,0.64,0.64,2.6944453716278076,2.142777442932129,1.5781004428863525,1.552114725112915,1.5510964393615723,1.39619779586792,0.8,0.59,0.58,0.58,0.52,,183,5450,3247,2188,1677
lak400d,418,362,40385,0.27,4,114,113,0.99,215,215,287,287,287,287,1.0,1.33,1.33,1.33,1.33,0.08493733406066895,0.10294032096862793,0.07795429229736328,0.07295632362365723,0.09494566917419434,0.09294438362121582,1.21,0.92,0.86,1.12,1.09,,186,2054,1228,909,768
lak400d,418,362,40385,0.27,6,186,185,0.99,276,276,321,321,321,321,1.0,1.16,1.16,1.16,1.16,0.12392711639404297,0.21887516975402832,0.10294103622436523,0.09794306755065918,0.09694314002990723,0.09294700622558594,1.77,0.83,0.79,0.78,0.75,,75,627,631,600,611
lak400d,418,362,40385,0.27,8,528,505,0.96,65147,48009,17762,17735,17735,17735,0.74,0.27,0.27,0.27,0.27,89.83182644844055,60.693408489227295,17.965762615203857,18.433499574661255,17.733896493911743,18.060710906982422,0.68,0.2,0.21,0.2,0.2,,2352,21930,14100,10191,8033
