index,domain,name,rows,cols,k,dist_start_goals,nrm_dist_start_goals,dist_between_goals,dijkstra_explored,dijkstra_elapsed,incremental_explored,incremental_elapsed,aggregative_explored,aggregative_elapsed
,Cities,Berlin_2_1024,1024,1024,40,1252.78,61.23,15.37,695458,47,1605,1,2044,4
,Cities,Berlin_2_1024,1024,1024,60,1261.42,61.65,14.3,599051,38,37773,8,34145,13
,Cities,Berlin_2_1024,1024,1024,60,1251.57,61.17,14.28,695458,46,1633,2,2071,7
,Cities,Berlin_2_1024,1024,1024,80,1261.12,61.64,14.39,599051,38,37800,9,41032,24
,Cities,Berlin_2_1024,1024,1024,80,1251.88,61.19,14.89,695458,46,1870,4,1676,9
,Cities,Berlin_2_1024,1024,1024,100,1261.01,61.63,14.85,599051,38,38113,10,41964,32
,Cities,Berlin_2_1024,1024,1024,100,1251.49,61.17,14.86,695458,46,1897,5,1702,13
,Cities,Berlin_2_1024,1024,1024,20,368.15,17.99,14.37,336130,22,63880,4,63798,7
,Cities,Berlin_2_1024,1024,1024,20,387.25,18.93,13.56,114622,6,39197,2,39207,4
,Cities,Berlin_2_1024,1024,1024,40,367.18,17.95,14.16,336130,22,63965,5,63823,10
,Cities,Berlin_2_1024,1024,1024,40,386.85,18.91,14.02,114630,6,40060,2,40061,6
,Cities,Berlin_2_1024,1024,1024,60,365.95,17.89,14.21,336139,22,64347,5,64252,14
,Cities,Berlin_2_1024,1024,1024,60,387.98,18.96,13.75,114630,6,40076,3,40085,8
,Cities,Berlin_2_1024,1024,1024,80,366.46,17.91,14.8,337135,22,64447,5,64391,17
,Cities,Berlin_2_1024,1024,1024,80,388.23,18.97,13.5,114630,6,40081,3,40103,11
,Cities,Berlin_2_1024,1024,1024,100,366.13,17.89,14.91,337135,21,64815,5,64829,21
,Cities,Berlin_2_1024,1024,1024,100,388.2,18.97,13.36,114630,6,40289,3,40319,14
,Cities,Berlin_2_1024,1024,1024,20,821.15,40.13,14.79,576198,38,89525,9,89289,12
,Cities,Berlin_2_1024,1024,1024,20,820.7,40.11,13.91,399460,26,23204,2,23224,3
,Cities,Berlin_2_1024,1024,1024,40,820.45,40.1,14.31,576198,38,91367,9,91136,17
,Cities,Berlin_2_1024,1024,1024,40,821.12,40.13,14.42,400735,25,23273,2,23265,5
,Cities,Berlin_2_1024,1024,1024,60,820.12,40.08,13.9,576935,38,93262,9,93039,22
,Cities,Berlin_2_1024,1024,1024,60,821.48,40.15,14.38,401364,26,23306,3,23297,8
,Cities,Berlin_2_1024,1024,1024,80,820.25,40.09,13.77,576935,39,93277,10,93191,27
,Cities,Berlin_2_1024,1024,1024,80,821.56,40.15,14.96,401364,26,23357,3,23349,10
,Cities,Berlin_2_1024,1024,1024,100,819.96,40.08,13.87,576935,38,93291,10,93318,35
,Cities,Berlin_2_1024,1024,1024,100,821.9,40.17,14.7,401364,26,23372,5,23376,13
,Cities,Berlin_2_1024,1024,1024,20,538,26.3,13.95,115280,6,1450,0,795,0
,Cities,Berlin_2_1024,1024,1024,20,545.2,26.65,12.94,277424,18,2051,1,1322,1
,Cities,Berlin_2_1024,1024,1024,40,540.12,26.4,14.01,115283,6,1490,1,831,1
,Cities,Berlin_2_1024,1024,1024,40,544.9,26.63,12.37,277424,18,2068,2,1710,2
,Cities,Berlin_2_1024,1024,1024,60,540.45,26.41,14.09,115283,7,1675,2,851,3
,Cities,Berlin_2_1024,1024,1024,60,544.58,26.62,12.72,277424,18,2089,3,1741,4
,Cities,Berlin_2_1024,1024,1024,80,539.85,26.39,14.17,115283,6,1700,3,1054,4
,Cities,Berlin_2_1024,1024,1024,80,544.27,26.6,12.98,277424,17,7210,4,6162,8
,Cities,Berlin_2_1024,1024,1024,100,539.64,26.38,14.39,115283,6,1724,4,1066,6
,Cities,Berlin_2_1024,1024,1024,100,543.89,26.58,13.21,277424,18,7327,6,6999,15
,Cities,London_1_1024,1024,1024,20,152.4,7.45,12.83,101784,6,14907,1,14914,1
,Cities,London_1_1024,1024,1024,20,149.45,7.3,11.68,88114,5,21777,1,21750,2
,Cities,London_1_1024,1024,1024,40,152.62,7.46,14.15,101796,6,15294,1,15305,2
,Cities,London_1_1024,1024,1024,40,147.5,7.21,11.98,88114,5,21829,1,21813,3
,Cities,London_1_1024,1024,1024,60,152.18,7.44,13.82,101796,6,15421,1,15439,3
,Cities,London_1_1024,1024,1024,60,147.18,7.19,12.61,88114,5,21862,1,21839,4
,Cities,London_1_1024,1024,1024,80,152.14,7.44,13.65,101796,6,15436,1,15448,4
,Cities,London_1_1024,1024,1024,80,146.61,7.17,12.49,88114,5,21879,1,21853,5
,Cities,London_1_1024,1024,1024,100,152.03,7.43,13.56,101800,6,15701,1,15726,5
,Cities,London_1_1024,1024,1024,100,146.93,7.18,12.63,88114,5,21886,1,21870,7
,Cities,London_1_1024,1024,1024,20,801.35,39.17,16.04,395291,26,54258,4,54392,7
,Cities,London_1_1024,1024,1024,20,801.75,39.19,14.51,509457,34,90715,8,90524,12
,Cities,London_1_1024,1024,1024,40,801.5,39.17,14.69,395291,26,54288,5,54432,10
,Cities,London_1_1024,1024,1024,40,800.45,39.12,15.52,509457,34,91596,9,91403,17
,Cities,London_1_1024,1024,1024,60,801.83,39.19,14.43,395292,25,54838,6,55130,14
,Cities,London_1_1024,1024,1024,60,800.48,39.12,14.86,509457,34,91659,9,91401,21
,Cities,London_1_1024,1024,1024,80,801.31,39.16,14.82,395292,27,54870,6,55134,19
,Cities,London_1_1024,1024,1024,80,800.1,39.11,14.67,509457,34,91682,10,91424,27
,Cities,London_1_1024,1024,1024,100,801.42,39.17,14.39,395292,25,54880,6,55145,23
