order,event,state,phase
1,cnt_h_update,"(2, 1)",update
2,cnt_h_update,"(1, 1)",update
3,cnt_h_update,"(3, 2)",update
4,cnt_h_update,"(3, 1)",update
5,cnt_h_update,"(3, 0)",update
6,cnt_h_update,"(1, 3)",update
