map,rows,cols,nodes,pct_nodes,goals,d_start_goal,h_start_goal,pct_start_goal,backward_0,backward_1,backward_2,forward,bi,iterative
lak405d,1005,782,47365,0.06,2,94,93,0.99,325,325,325,148,146,250
lak405d,1005,782,47365,0.06,4,862,773,0.9,14804,14662,12578,12448,12435,49863
lak405d,1005,782,47365,0.06,6,967,740,0.77,29989,25695,19343,12378,12351,73865
lak405d,1005,782,47365,0.06,8,1245,806,0.65,66198,56629,41923,47365,21754,173819
lak405d,1005,782,47365,0.06,10,541,386,0.71,35591,13099,7997,9511,9473,92044
London_1_1024,1024,1024,796301,0.76,2,225,202,0.9,2107,2107,2107,2246,2242,4480
London_1_1024,1024,1024,796301,0.76,4,592,535,0.9,41489,41058,34990,25548,25522,107108
London_1_1024,1024,1024,796301,0.76,6,947,770,0.81,297581,251589,161909,792789,131118,784832
London_1_1024,1024,1024,796301,0.76,8,1169,1168,1,3021,2949,4859,77045,77007,610365
London_1_1024,1024,1024,796301,0.76,10,172,171,0.99,834,710,575,197,171,1655
maze512-16-5,511,511,246016,0.94,2,250,93,0.37,9853,9838,9769,246016,12714,23630
maze512-16-5,511,511,246016,0.94,4,771,286,0.37,63441,63182,50094,62265,62243,250318
maze512-16-5,511,511,246016,0.94,6,1410,493,0.35,160101,159565,139582,136533,136516,821316
maze512-16-5,511,511,246016,0.94,8,2142,581,0.27,252127,250719,200946,156674,156637,1262412
maze512-16-5,511,511,246016,0.94,10,1669,458,0.27,166558,164022,155360,246016,172190,1710145
maze512-2-0,511,511,174524,0.67,2,1336,217,0.16,60972,60942,60929,44955,27629,72584
maze512-2-0,511,511,174524,0.67,4,3484,317,0.09,116305,109459,109460,153786,153611,615575
maze512-2-0,511,511,174524,0.67,6,243,116,0.48,17897,17417,17411,174524,1458,37804
maze512-2-0,511,511,174524,0.67,8,1218,31,0.03,8980,8855,8849,174524,32264,264872
maze512-2-0,511,511,174524,0.67,10,1744,297,0.17,36160,33114,33107,174524,35054,334983
maze512-32-9,511,511,253792,0.97,2,1463,540,0.37,130250,130093,111051,134218,134212,267676
